[GIN] 2022/04/13 - 15:14:14 | 200 |     9.88422ms |    192.168.56.1 | GET      "/clusterlist?label=k8s-test-001&softdir=%2fopt%2f&ostype=rhel7&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:17 | 200 |    2.229616ms |    192.168.56.1 | GET      "/?label=k8s-test-001&softdir=%2fopt%2f&ostype=rhel7&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:18 | 200 |    1.228803ms |    192.168.56.1 | GET      "/clusterlist?label=k8s-test-001&softdir=%2fopt%2f&ostype=rhel7&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:18 | 200 |     5.52399ms |    192.168.56.1 | GET      "/masteradmin?label=k8s-test-001&softdir=%2fopt%2f&ostype=rhel7&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:18 | 200 |    3.763203ms |    192.168.56.1 | GET      "/nodeadmin?label=k8s-test-001&k8sver=1.24&softdir=%2fopt%2f&ostype=&sshport=22"
[GIN] 2022/04/13 - 15:14:19 | 200 |    2.365152ms |    192.168.56.1 | GET      "/tools?label=k8s-test-001&softdir=%2fopt%2f&ostype=&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:19 | 200 |    1.866411ms |    192.168.56.1 | GET      "/logs?label=k8s-test-001&softdir=%2fopt%2f&ostype=&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:19 | 200 |     844.616µs |    192.168.56.1 | GET      "/?label=k8s-test-001&softdir=%2fopt%2f&ostype=&k8sver=1.24&sshport=22"
[GIN] 2022/04/13 - 15:14:20 | 200 |    1.752004ms |    192.168.56.1 | GET      "/clusterlist?label=k8s-test-001&softdir=%2fopt%2f&ostype=&k8sver=1.24&sshport=22"
